killer_name,killer_steamid,killer_team_name,victim_name,victim_steamid,victim_side,victim_team_name,weapon_name,headshot,is_trade_kill,match_checksum,tournament
chopper,76561198045898864,Team Spirit,jottAAA,76561198410750263,Terrorist,Eternal Fire,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,XANTARES,76561198044118796,Terrorist,Eternal Fire,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,Wicadia,76561198812513923,Terrorist,Eternal Fire,AWP,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,jottAAA,76561198410750263,Terrorist,Eternal Fire,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,MAJ3R,76561197967432889,Terrorist,Eternal Fire,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,donk,76561198386265483,Counter Terrorist,Team Spirit,AK-47,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,magixx,76561199063238565,Counter Terrorist,Team Spirit,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,woxic,76561198083485506,Terrorist,Eternal Fire,P250,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,zont1x,76561198995880877,Counter Terrorist,Team Spirit,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,MAJ3R,76561197967432889,Terrorist,Eternal Fire,AWP,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,XANTARES,76561198044118796,Terrorist,Eternal Fire,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,Wicadia,76561198812513923,Terrorist,Eternal Fire,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,magixx,76561199063238565,Counter Terrorist,Team Spirit,AK-47,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,donk,76561198386265483,Counter Terrorist,Team Spirit,Galil AR,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,chopper,76561198045898864,Counter Terrorist,Team Spirit,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,sh1ro,76561198081484775,Counter Terrorist,Team Spirit,Galil AR,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
World,0,,jottAAA,76561198410750263,Terrorist,Eternal Fire,C4,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,magixx,76561199063238565,Counter Terrorist,Team Spirit,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,XANTARES,76561198044118796,Terrorist,Eternal Fire,M4A1,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,donk,76561198386265483,Counter Terrorist,Team Spirit,MAC-10,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,MAJ3R,76561197967432889,Terrorist,Eternal Fire,M4A1,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,Wicadia,76561198812513923,Terrorist,Eternal Fire,M4A1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,zont1x,76561198995880877,Counter Terrorist,Team Spirit,AK-47,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,chopper,76561198045898864,Counter Terrorist,Team Spirit,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,woxic,76561198083485506,Terrorist,Eternal Fire,AWP,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,jottAAA,76561198410750263,Terrorist,Eternal Fire,M4A1,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,MAJ3R,76561197967432889,Terrorist,Eternal Fire,AWP,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,Wicadia,76561198812513923,Terrorist,Eternal Fire,AWP,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,donk,76561198386265483,Counter Terrorist,Team Spirit,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,jottAAA,76561198410750263,Terrorist,Eternal Fire,M4A1,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,zont1x,76561198995880877,Counter Terrorist,Team Spirit,Galil AR,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,woxic,76561198083485506,Terrorist,Eternal Fire,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,chopper,76561198045898864,Counter Terrorist,Team Spirit,AK-47,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,Glock-18,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,Glock-18,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,Dual Berettas,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,Dual Berettas,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,P2000,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,Glock-18,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,Glock-18,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,woxic,76561198083485506,Counter Terrorist,Eternal Fire,Glock-18,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,MP9,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,woxic,76561198083485506,Counter Terrorist,Eternal Fire,Galil AR,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,Galil AR,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,Galil AR,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,MAC-10,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,Galil AR,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,sh1ro,76561198081484775,Terrorist,Team Spirit,MP9,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,Galil AR,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,Desert Eagle,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,Desert Eagle,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,Galil AR,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,M4A1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,MP9,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,magixx,76561199063238565,Terrorist,Team Spirit,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,HE Grenade,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
World,0,,chopper,76561198045898864,Terrorist,Team Spirit,C4,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,FAMAS,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,MP9,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,sh1ro,76561198081484775,Terrorist,Team Spirit,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,Galil AR,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,sh1ro,76561198081484775,Terrorist,Team Spirit,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,magixx,76561199063238565,Terrorist,Team Spirit,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,magixx,76561199063238565,Terrorist,Team Spirit,M4A1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,Glock-18,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,M4A1,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,M4A1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,sh1ro,76561198081484775,Terrorist,Team Spirit,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,magixx,76561199063238565,Terrorist,Team Spirit,M4A1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,M4A1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,sh1ro,76561198081484775,Terrorist,Team Spirit,AWP,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,AWP,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,Tec-9,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,Wicadia,76561198812513923,Counter Terrorist,Eternal Fire,Tec-9,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,sh1ro,76561198081484775,Terrorist,Team Spirit,M4A1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,AWP,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,M4A1,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,magixx,76561199063238565,Terrorist,Team Spirit,AWP,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,M4A1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,M4A1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,AK-47,0,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,sh1ro,76561198081484775,Terrorist,Team Spirit,Tec-9,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,magixx,76561199063238565,Terrorist,Team Spirit,AK-47,1,1,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,donk,76561198386265483,Terrorist,Team Spirit,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,XANTARES,76561198044118796,Counter Terrorist,Eternal Fire,Tec-9,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,sh1ro,76561198081484775,Terrorist,Team Spirit,AWP,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,jottAAA,76561198410750263,Counter Terrorist,Eternal Fire,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,MAJ3R,76561197967432889,Counter Terrorist,Eternal Fire,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,zont1x,76561198995880877,Terrorist,Team Spirit,AK-47,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,chopper,76561198045898864,Terrorist,Team Spirit,AK-47,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
