frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
5032,3934,1," saffee",76561197985565685,3,MIBR,jambo,76561198800253526,2,Passion UA,,0,0,,USP-S,pistol,1,0,0,0,0,0,-268.958496,-631.771790,-253.968750,0,0,335.606995,-441.951416,-164.415161,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,16.248175,4627feec32d8c77a
5124,4013,1," saffee",76561197985565685,3,MIBR,fEAR,76561198132026180,2,Passion UA,,0,0,,USP-S,pistol,1,0,0,0,0,0,-279.632141,-663.287109,-255.461792,0,0,337.780029,-305.523804,-166.821899,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,18.228523,4627feec32d8c77a
5198,4071,1,jackasmo,76561198446445284,2,Passion UA," saffee",76561197985565685,3,MIBR,s-chilla,76561198964042711,2,Passion UA,Glock-18,pistol,1,0,0,0,0,0,493.892090,-230.579468,-160.294800,0,1,-250.853394,-702.350159,-248.651611,0,0,0,298.461121,-264.430908,-167.156128,1,0,0,0,22.509176,4627feec32d8c77a
6891,5529,1,Lucaozy,76561198157388473,3,MIBR,jackasmo,76561198446445284,2,Passion UA,insani,76561198061423730,3,MIBR,USP-S,pistol,1,0,1,0,0,0,-1184.918213,-595.901123,-167.968750,0,0,-278.339844,-646.885193,-254.929688,0,1,0,-769.183350,-2105.761230,-179.968750,0,0,0,0,23.153669,4627feec32d8c77a
7734,6262,1,drop,76561198388056582,3,MIBR,s-chilla,76561198964042711,2,Passion UA,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-2160.410400,-38.930725,-165.718750,0,0,-1987.032959,416.147552,-159.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.379230,4627feec32d8c77a
7823,6338,1,Lucaozy,76561198157388473,3,MIBR,zeRRoFIX,76561199121088563,2,Passion UA,,0,0,,USP-S,pistol,1,0,0,0,0,0,-2306.162842,-392.226562,-167.968750,0,0,-2257.957031,526.552002,-165.718750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.539898,4627feec32d8c77a
12779,10172,2,jackasmo,76561198446445284,2,Passion UA,exit,76561198010496342,3,MIBR,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,392.055450,-1614.310669,-207.992798,0,0,28.804049,-1579.861816,-172.448975,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.320207,4627feec32d8c77a
13103,10463,2,insani,76561198061423730,3,MIBR,s-chilla,76561198964042711,2,Passion UA,,0,0,,M4A1,rifle,1,0,0,0,0,0,-776.297119,-1577.084106,-167.968750,0,0,87.968361,-2137.568604,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,26.320723,4627feec32d8c77a
13194,10540,2,insani,76561198061423730,3,MIBR,zeRRoFIX,76561199121088563,2,Passion UA,,0,0,,M4A1,rifle,0,0,0,0,0,0,-753.093323,-1546.743774,-167.968750,0,0,36.214619,-2207.952881,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,26.374296,4627feec32d8c77a
13280,10610,2,fEAR,76561198132026180,2,Passion UA,insani,76561198061423730,3,MIBR,,0,0,,Glock-18,pistol,0,0,0,0,0,0,68.761246,-2231.820801,-39.968750,0,0,-713.965393,-1502.346191,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,27.320089,4627feec32d8c77a
13356,10680,2," saffee",76561197985565685,3,MIBR,fEAR,76561198132026180,2,Passion UA,insani,76561198061423730,3,MIBR,M4A1,rifle,0,0,0,0,0,0,-1227.804932,-1224.371216,-167.968750,0,0,29.185671,-2177.717041,-39.968750,0,0,0,-713.965393,-1502.346191,-167.968750,1,0,0,0,40.284782,4627feec32d8c77a
13907,11168,2,Lucaozy,76561198157388473,3,MIBR,jackasmo,76561198446445284,2,Passion UA," saffee",76561197985565685,3,MIBR,M4A1,rifle,0,0,0,0,0,0,-503.912842,-1554.637817,-39.968750,0,0,-140.824341,-1506.712158,-53.968750,0,0,0,-1216.028687,-1526.968506,-153.424194,0,0,0,0,9.303992,4627feec32d8c77a
15262,12397,2,jambo,76561198800253526,2,Passion UA,Lucaozy,76561198157388473,3,MIBR,,0,0,,MP9,smg,1,0,0,0,0,0,-592.577454,-1715.314941,-177.100098,0,0,-576.442566,-1311.785645,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,10.294685,4627feec32d8c77a
15371,12495,2," saffee",76561197985565685,3,MIBR,jambo,76561198800253526,2,Passion UA,insani,76561198061423730,3,MIBR,M4A1,rifle,0,0,0,0,0,0,-1259.565552,-1322.145752,-169.278259,0,0,-443.403076,-1760.152954,-173.166748,0,0,0,-713.965393,-1502.346191,-167.968750,1,0,0,0,23.530882,4627feec32d8c77a
19322,15380,3,exit,76561198010496342,3,MIBR,s-chilla,76561198964042711,2,Passion UA,,0,0,,M4A1,rifle,0,0,0,0,0,0,92.461838,-1918.031738,-39.968750,0,0,70.358467,-2335.147461,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,10.613587,4627feec32d8c77a
19420,15466,3,zeRRoFIX,76561199121088563,2,Passion UA,exit,76561198010496342,3,MIBR,,0,0,,AK-47,rifle,1,0,0,0,0,0,-288.639160,-1752.721313,-167.968750,0,0,135.596542,-1921.210815,-39.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,12.001054,4627feec32d8c77a
19589,15592,3,zeRRoFIX,76561199121088563,2,Passion UA," saffee",76561197985565685,3,MIBR,,0,0,,AK-47,rifle,1,0,0,0,0,0,-372.487915,-1793.808960,-168.359009,0,0,-1255.455078,-1297.977661,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.722794,4627feec32d8c77a
26546,21151,4,fEAR,76561198132026180,2,Passion UA,Lucaozy,76561198157388473,3,MIBR,,0,0,,AK-47,rifle,1,0,0,0,0,0,433.644989,-499.302551,-159.968750,0,1,-1160.659546,-556.293335,-167.968750,0,1,0,0.000000,0.000000,0.000000,0,0,0,0,40.521248,4627feec32d8c77a
26552,21157,4,insani,76561198061423730,3,MIBR,jambo,76561198800253526,2,Passion UA,,0,0,,M4A1,rifle,0,0,0,0,0,0,-1178.773560,-733.028259,-167.968750,0,0,434.240814,-178.427368,-159.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,43.326836,4627feec32d8c77a
31460,25292,4,s-chilla,76561198964042711,2,Passion UA,exit,76561198010496342,3,MIBR,jackasmo,76561198446445284,2,Passion UA,AK-47,rifle,1,3,0,0,0,0,16.032017,-2252.055664,-39.968750,0,0,151.545334,-1914.027832,-167.968750,0,0,0,-375.966431,-1586.107544,-163.968750,0,0,0,0,9.808423,4627feec32d8c77a
31812,25597,4,zeRRoFIX,76561199121088563,2,Passion UA,insani,76561198061423730,3,MIBR,s-chilla,76561198964042711,2,Passion UA,AK-47,rifle,1,0,0,0,0,0,-704.335571,-1850.943970,-179.968750,0,0,-507.164551,-1405.575684,-104.299438,0,0,0,16.031116,-2225.331055,-39.968750,0,0,1,0,12.503890,4627feec32d8c77a
31966,25737,4," saffee",76561197985565685,3,MIBR,s-chilla,76561198964042711,2,Passion UA,insani,76561198061423730,3,MIBR,M4A1,rifle,0,0,0,0,0,0,-1332.628906,-2398.593994,-207.120911,0,0,78.143326,-2131.404053,-39.968750,0,0,0,-507.164551,-1405.575684,-104.299438,0,1,0,0,36.719910,4627feec32d8c77a
31992,25759,4,fEAR,76561198132026180,2,Passion UA," saffee",76561197985565685,3,MIBR,zeRRoFIX,76561199121088563,2,Passion UA,AK-47,rifle,1,0,0,0,0,0,-161.609009,-2178.949219,-167.968750,0,0,-1332.263550,-2400.564453,-206.916504,0,0,0,-782.910461,-1678.335571,-173.402161,1,0,0,0,30.289831,4627feec32d8c77a
31995,25762,4,drop,76561198388056582,3,MIBR,jackasmo,76561198446445284,2,Passion UA,exit,76561198010496342,3,MIBR,M4A1,rifle,0,0,0,0,0,0,-761.221191,-2190.231934,-179.968750,0,0,-723.228210,-2125.812744,-179.968750,0,0,0,151.545334,-1914.027832,-167.968750,0,1,0,0,1.900312,4627feec32d8c77a
32034,25797,4,fEAR,76561198132026180,2,Passion UA,drop,76561198388056582,3,MIBR,jackasmo,76561198446445284,2,Passion UA,AK-47,rifle,0,0,0,0,0,0,-161.783813,-2180.213867,-167.968750,0,0,-761.428711,-2164.972412,-179.968750,0,0,0,-722.535278,-2126.236084,-179.968750,1,0,0,0,15.260345,4627feec32d8c77a
36859,29442,5,zeRRoFIX,76561199121088563,2,Passion UA," saffee",76561197985565685,3,MIBR,fEAR,76561198132026180,2,Passion UA,AK-47,rifle,0,0,1,0,0,0,-508.315552,-2253.574219,-175.398254,0,0,-383.002686,-2394.957031,-163.968750,0,1,0,-98.375793,-1930.838501,-167.968750,0,1,0,0,4.864558,4627feec32d8c77a
37128,29670,5,zeRRoFIX,76561199121088563,2,Passion UA,drop,76561198388056582,3,MIBR,,0,0,,AK-47,rifle,0,0,0,0,0,0,-769.228333,-2315.240479,-178.648743,0,0,-1065.060547,-2293.819092,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,7.561285,4627feec32d8c77a
37206,29739,5,insani,76561198061423730,3,MIBR,zeRRoFIX,76561199121088563,2,Passion UA,drop,76561198388056582,3,MIBR,USP-S,pistol,0,0,0,0,0,0,-525.648621,-1384.869019,-120.864746,0,0,-763.706665,-2231.487793,-179.968750,0,0,0,-1065.060547,-2293.819092,-167.968750,1,0,1,0,22.471264,4627feec32d8c77a
38195,30574,5,fEAR,76561198132026180,2,Passion UA,insani,76561198061423730,3,MIBR,jambo,76561198800253526,2,Passion UA,AK-47,rifle,1,0,0,0,0,0,-768.295837,-2242.653076,-179.968750,0,0,-618.914795,-907.817688,-230.056213,0,0,0,-826.705627,-2530.881592,-35.968750,0,0,1,0,34.150475,4627feec32d8c77a
44551,35461,6," saffee",76561197985565685,3,MIBR,fEAR,76561198132026180,2,Passion UA,,0,0,,M4A1,rifle,1,0,0,0,0,0,-1204.020264,-615.922485,-167.968750,0,0,427.003265,-229.393677,-162.463440,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,42.578278,4627feec32d8c77a
44800,35676,6,insani,76561198061423730,3,MIBR,zeRRoFIX,76561199121088563,2,Passion UA,,0,0,,M4A1,rifle,1,0,0,0,0,0,-998.714355,-692.089355,-263.968750,0,0,-976.521851,177.674210,-367.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.285828,4627feec32d8c77a
