number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,67,130,3267,4397,11425,13836,11873,14364,Team Spirit,HEROIC,1,0,3,2,4000,4000,4350,4300,3550,3300,pistol,pistol,170428,7,Team Spirit,3,0,6ff36ec1a9149902
2,11873,14364,13153,16313,19017,23466,19465,24035,Team Spirit,HEROIC,1,1,3,2,19750,14400,20900,13250,19300,12450,semi,force-buy,113179,1,HEROIC,2,0,6ff36ec1a9149902
3,19465,24035,20745,26013,30203,37248,30651,37776,Team Spirit,HEROIC,1,2,3,2,7450,21250,13650,19200,5700,5700,force-buy,semi,164298,1,HEROIC,2,0,6ff36ec1a9149902
4,30651,37776,31931,39883,40737,50306,41185,50837,Team Spirit,HEROIC,1,3,3,2,12150,34250,7200,22500,1150,11750,semi,full,155805,1,HEROIC,2,0,6ff36ec1a9149902
5,41185,50837,42465,52795,51745,63937,52193,64477,Team Spirit,HEROIC,1,4,3,2,23600,41500,23850,23650,20800,9000,full,full,162893,1,HEROIC,2,0,6ff36ec1a9149902
6,54946,68370,56226,70242,60155,74979,60603,75499,Team Spirit,HEROIC,1,5,3,2,19100,51500,21850,23450,16750,18750,semi,full,82180,9,HEROIC,2,0,6ff36ec1a9149902
7,60603,75499,61883,77351,69243,86013,69691,86549,Team Spirit,HEROIC,2,5,3,2,20350,50800,11600,27550,11200,20800,semi,full,130737,12,Team Spirit,3,0,6ff36ec1a9149902
8,72012,89789,73292,91633,80105,99778,80553,100297,Team Spirit,HEROIC,2,6,3,2,26200,35900,29950,27550,13850,20500,full,full,124209,9,HEROIC,2,0,6ff36ec1a9149902
9,80553,100297,81833,102400,88703,110549,89151,111092,Team Spirit,HEROIC,2,7,3,2,28050,33050,28100,27250,27100,20300,full,full,127479,1,HEROIC,2,0,6ff36ec1a9149902
10,89151,111092,90431,112990,98094,122240,98542,122767,Team Spirit,HEROIC,2,8,3,2,18850,31550,22300,27250,16850,16700,semi,full,138620,9,HEROIC,2,0,6ff36ec1a9149902
11,100636,125656,101916,127545,109276,136497,109724,137020,Team Spirit,HEROIC,3,8,3,2,19900,32900,13900,25900,11800,15400,semi,full,134803,12,Team Spirit,3,0,6ff36ec1a9149902
12,109724,137020,111004,138979,119294,148977,119838,149622,Team Spirit,HEROIC,3,9,3,2,26450,23700,29050,28050,24700,21700,full,full,148680,9,HEROIC,2,0,6ff36ec1a9149902
13,119838,149622,134880,168802,139366,174046,139814,174607,Team Spirit,HEROIC,4,9,2,3,4000,4000,4200,4300,3400,3300,pistol,pistol,303702,9,Team Spirit,2,0,6ff36ec1a9149902
14,139814,174607,141094,176463,145694,181967,146142,182540,Team Spirit,HEROIC,5,9,2,3,18350,10500,17650,1000,16250,0,semi,eco,91518,9,Team Spirit,2,0,6ff36ec1a9149902
15,146142,182540,147422,184555,151018,189034,151466,189553,Team Spirit,HEROIC,5,10,2,3,20450,22500,18650,23650,4700,22250,semi,full,80750,8,HEROIC,3,0,6ff36ec1a9149902
16,151466,189553,152746,191583,158409,198470,158857,199024,Team Spirit,HEROIC,6,10,2,3,24550,18000,23700,24800,22500,16150,full,full,110879,1,Team Spirit,2,0,6ff36ec1a9149902
17,158857,199024,160137,200878,165227,207102,165675,207637,Team Spirit,HEROIC,7,10,2,3,20450,11350,25400,13200,4700,500,full,semi,100446,9,Team Spirit,2,0,6ff36ec1a9149902
18,168040,210839,169320,212622,175088,219843,175536,220373,Team Spirit,HEROIC,7,11,2,3,33800,23750,25400,24350,17100,23350,full,full,111961,8,HEROIC,3,0,6ff36ec1a9149902
19,175536,220373,176816,222254,183071,230044,183519,230575,Team Spirit,HEROIC,8,11,2,3,24300,18150,23700,25850,22700,13300,full,full,120254,1,Team Spirit,2,0,6ff36ec1a9149902
20,183519,230575,184799,232415,192618,241996,193066,242559,Team Spirit,HEROIC,9,11,2,3,20300,14650,25600,10800,8600,2250,full,semi,142015,1,Team Spirit,2,0,6ff36ec1a9149902
21,193066,242559,194346,244444,198516,249595,198964,250142,Team Spirit,HEROIC,10,11,2,3,30400,24700,27650,26850,11250,22850,full,full,87489,9,Team Spirit,2,0,6ff36ec1a9149902
22,201250,253264,202530,255201,210760,265094,211208,265629,Team Spirit,HEROIC,11,11,2,3,37200,17250,27850,8650,17100,8450,full,semi,147101,9,Team Spirit,2,0,6ff36ec1a9149902
23,213804,269167,215084,270989,220836,277850,221284,278407,Team Spirit,HEROIC,12,11,2,3,38150,27000,27850,27500,21950,25800,full,full,107969,9,Team Spirit,2,0,6ff36ec1a9149902
24,221284,278407,222564,280471,229177,288270,229177,288270,Team Spirit,HEROIC,13,11,2,3,35200,18150,28550,19250,16900,18050,full,force-buy,122642,9,Team Spirit,2,0,6ff36ec1a9149902
