name,steamid,team_name,kills,assists,deaths,headshots,hs_%,kd,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
sh1ro,76561198081484775,Team Spirit,23,7,16,5,21,1.4375,86.666664,79.400002,0.766667,0.533333,4.3,2382,301,129,2,0,8,1,11,5,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,23,10,21,14,60,1.095238,76.666664,94.76667,0.766667,0.7,1.333333,2843,397,40,6,4,3,7,8,4,1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,25,6,11,10,40,2.272727,86.666664,80.800003,0.833333,0.366667,6.533333,2424,262,196,1,1,3,1,12,5,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,18,5,23,12,66,0.782609,70.0,60.599998,0.6,0.766667,1.566667,1818,417,47,5,5,3,6,9,3,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,20,4,22,10,50,0.909091,56.666668,65.866669,0.666667,0.733333,6.6,1976,369,198,2,5,3,3,6,4,2,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,18,6,19,7,38,0.947368,70.0,75.400002,0.6,0.633333,10.033334,2262,294,301,0,3,3,4,8,2,2,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,16,7,24,9,56,0.666667,76.666664,58.666668,0.533333,0.8,3.533333,1760,306,106,2,2,5,8,9,2,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,20,7,21,13,65,0.952381,66.666672,70.566666,0.666667,0.7,3.633333,2117,400,109,2,1,5,1,12,4,0,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,24,9,22,7,29,1.090909,76.666664,89.599998,0.8,0.733333,10.9,2688,481,327,6,5,3,8,9,4,1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,15,11,25,8,53,0.6,63.333332,66.800003,0.5,0.833333,4.0,2004,321,120,4,4,3,6,10,1,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,15,4,13,5,33,1.153846,73.684212,69.052635,0.789474,0.684211,4.31579,1312,272,82,3,2,1,3,6,3,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,9,0,15,3,33,0.6,52.63158,55.684212,0.473684,0.789474,0.315789,1058,211,6,0,2,4,2,3,3,0,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,10,3,15,5,50,0.666667,52.63158,51.526318,0.526316,0.789474,0.0,979,154,0,0,4,1,2,3,2,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,15,7,8,7,46,1.875,89.473686,96.210526,0.789474,0.421053,1.0,1828,242,19,4,1,2,3,5,2,2,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,13,4,14,5,38,0.928571,78.947372,90.052635,0.684211,0.736842,2.315789,1711,222,44,1,3,0,1,6,2,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,13,5,15,6,46,0.866667,63.15789,90.894737,0.684211,0.789474,3.894737,1727,222,74,1,1,2,3,4,3,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,17,6,14,13,76,1.214286,73.684212,101.789474,0.894737,0.736842,4.736842,1934,302,90,5,0,3,1,8,3,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,10,2,14,5,50,0.714286,68.421051,69.0,0.526316,0.736842,0.631579,1311,139,12,1,1,0,5,6,2,0,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,16,6,8,7,43,2.0,68.421051,72.157898,0.842105,0.421053,1.631579,1371,245,31,1,1,5,1,3,5,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,12,4,14,9,75,0.857143,68.421051,65.736839,0.631579,0.736842,2.315789,1249,116,44,3,4,2,2,3,3,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,22,6,7,11,50,3.142857,93.75,129.875,1.375,0.4375,8.375,2078,294,134,4,0,5,3,8,2,2,1,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,15,2,6,4,26,2.5,87.5,88.6875,0.9375,0.375,8.3125,1419,90,133,3,0,4,2,7,2,0,1,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,2,3,15,0,0,0.133333,50.0,27.8125,0.125,0.9375,6.5625,445,59,105,0,3,2,5,0,1,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,11,5,12,7,63,0.916667,81.25,75.8125,0.6875,0.75,0.4375,1213,170,7,0,1,6,4,4,2,1,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,11,3,13,6,54,0.846154,81.25,70.75,0.6875,0.8125,9.25,1132,194,148,2,2,3,6,5,3,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,12,6,7,3,25,1.714286,87.5,86.75,0.75,0.4375,11.5625,1388,421,185,1,0,2,2,6,3,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,8,3,14,5,62,0.571429,56.25,59.75,0.5,0.875,0.0,956,97,0,2,3,2,3,4,2,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,8,7,9,5,62,0.888889,87.5,68.25,0.5,0.5625,9.4375,1092,254,151,1,3,1,3,6,1,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,11,4,13,6,54,0.846154,75.0,73.375,0.6875,0.8125,3.4375,1174,232,55,2,4,2,3,5,3,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,10,5,14,3,30,0.714286,81.25,66.5625,0.625,0.875,0.0,1065,87,0,1,0,1,4,6,2,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,14,6,16,7,50,0.875,76.190475,84.428574,0.666667,0.761905,3.333333,1773,260,70,2,3,2,4,6,4,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,8,7,13,5,62,0.615385,80.952385,50.333332,0.380952,0.619048,4.285714,1057,156,90,3,5,2,5,6,1,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,12,3,12,8,66,1.0,85.714287,64.714287,0.571429,0.571429,7.047619,1359,158,148,4,0,3,5,8,2,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,13,4,17,12,92,0.764706,71.428574,77.761902,0.619048,0.809524,1.761905,1633,260,37,5,5,3,3,5,4,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
